Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Golden State Warriors,67-15,36-5,31-Oct,25-May,42-10,09-Jan,08-Feb,08-Feb,15-Mar,14-Feb,13-May,47-9,20-Jun,03-Apr,48-6,02-Jan,14-Jan,13-Mar,12-Feb,09-Mar,12-Apr,05-Jan
2,San Antonio Spurs,61-21,31-Oct,30-Nov,25-May,36-16,09-Jan,08-Feb,08-Feb,13-May,12-Jun,11-May,43-13,18-Aug,08-May,30-Aug,4-0,11-Apr,12-Feb,10-May,08-Feb,13-Apr,03-Apr
3,Houston Rockets,55-27,30-Nov,25-16,19-Nov,36-16,08-Feb,05-May,06-Apr,13-May,13-May,10-Jun,40-18,15-Sep,08-Mar,30-Nov,02-Jan,09-Jun,15-Feb,10-Jul,06-Mar,09-Jun,04-Feb
4,Boston Celtics,53-29,30-Nov,23-18,36-16,17-13,11-May,11-Jul,14-Apr,05-May,06-Apr,06-Apr,37-20,16-Sep,07-Jun,17-Nov,02-Jan,08-Jul,10-Jun,10-Apr,08-Apr,11-May,04-Feb
5,Cleveland Cavaliers,51-31,31-Oct,20-21,35-17,16-14,16-Feb,08-Aug,11-Jul,06-Apr,06-Apr,04-Jun,39-16,Dec-15,03-Apr,25-15,3-0,10-Mar,12-Apr,07-Aug,09-Feb,07-Oct,03-Apr
6,Los Angeles Clippers,51-31,29-Dec,22-19,20-Oct,31-21,06-Apr,05-May,09-Jan,10-Aug,10-Jun,11-Jul,35-21,16-Oct,03-Jun,33-14,3-0,11-May,08-Sep,08-Apr,06-May,10-Aug,5-0
7,Toronto Raptors,51-31,28-13,23-18,34-18,17-13,14-Feb,10-Aug,10-Aug,08-Feb,03-Jul,06-Apr,33-24,18-Jul,08-Jul,26-Aug,02-Jan,10-May,10-Apr,08-Sep,06-May,10-Jun,05-Jan
8,Utah Jazz,51-31,29-Dec,22-19,20-Oct,31-21,06-Apr,06-Apr,08-Feb,08-Aug,12-Jun,11-Jul,35-22,16-Sep,04-Apr,23-Oct,01-Feb,10-Jun,10-May,09-Jun,07-Apr,10-Jun,04-Feb
9,Washington Wizards,49-33,30-Nov,19-22,32-20,17-13,12-Jun,12-Jun,08-Aug,06-Apr,08-Feb,03-Jul,34-21,15-Dec,09-Jun,18-Dec,0-2,06-Sep,10-May,12-Apr,07-Mar,11-Jul,03-Mar
10,Oklahoma City Thunder,47-35,28-13,19-22,18-Dec,29-23,09-Jan,04-Jun,05-May,10-Jun,08-Oct,11-Jul,32-25,15-Oct,12-Jul,23-21,3-0,09-Aug,09-May,07-Aug,07-Apr,08-Jul,04-Mar
