Player, Team
LeBron James,CLE
Kevin Durant,GSW
Russell Westbrook,OKC
Kyrie Irving,BOS
Anthony Davis,NOP
Paul George,OKC
Andre Drummond,DET
Bradley Beal,WAS
Victor Oladipo,IND
Kemba Walker,CHO
Goran Dragic,MIA
LeMarcus Aldridge,SAS
James Harden,HOU
DeMar DeRozan,TOR
Stephen Curry,GSW
Giannis Antetokounmpo,MIL
Joel Embiid,PHI
Kyle Lowry,TOR
Klay Thompson,GSW
Damian Lillard,POR
Draymond Green,GSW
Karl-Anthony Towns,MIN
Al Horford,BOS
